03-10-2015 12-58-28
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
8	11	1	15	1	1	1040.3165184216289
4	14	0	76	0	0	1040.4358813736246
4	14	1	24	0	0	1040.4358813736246
1	4	0	86	0	0	1043.8121402949218
1	4	1	14	0	0	1043.8121402949218
7	14	0	73	0	0	1044.8965018826732
7	14	1	27	0	0	1044.8965018826732
1	10	0	83	0	0	1045.0259484507399
1	10	1	17	0	0	1045.0259484507399
2	14	0	75	0	0	1046.3292990562513
2	14	1	25	0	0	1046.3292990562513
12	9	0	80	0	0	1046.372764356606
12	9	1	20	0	0	1046.372764356606
4	10	0	76	0	0	1046.4157899681773
4	10	1	24	0	0	1046.4157899681773
2	6	0	76	0	0	1052.1434857034574
2	6	1	24	0	0	1052.1434857034574
12	2	0	83	0	0	1052.2175964294756
12	2	1	17	0	0	1052.2175964294756
13	3	0	78	0	0	1052.7455457623855
13	3	1	22	0	0	1052.7455457623855
14	2	0	76	0	0	1052.8656586966413
14	2	1	24	0	0	1052.8656586966413
3	14	0	77	0	0	1055.4490513603112
3	14	1	23	0	0	1055.4490513603112
9	5	0	76	0	0	1055.8354906905793
9	5	1	24	0	0	1055.8354906905793
5	6	0	86	0	0	1060.063869273069
5	6	1	14	1	1	1060.063869273069
14	1	0	82	0	0	1060.2769079645373
14	1	1	18	0	0	1060.2769079645373
10	7	0	77	0	0	1061.9224261824731
10	7	1	23	0	0	1061.9224261824731
4	2	0	83	0	0	1062.323844907928
4	2	1	17	0	0	1062.323844907928
9	3	0	81	0	0	1063.190551337415
9	3	1	19	0	0	1063.190551337415
13	8	0	85	0	0	1065.4136177742675
13	8	1	15	0	0	1065.4136177742675
7	4	0	80	0	0	1065.4281114000723
7	4	1	20	0	0	1065.4281114000723
14	4	0	75	0	0	1068.6571017581275
14	4	1	25	0	0	1068.6571017581275
8	13	0	83	0	0	1069.5850173261776
8	13	1	17	0	0	1069.5850173261776
14	5	0	76	0	0	1069.8101292477506
14	5	1	24	1	1	1069.8101292477506
13	10	0	82	0	0	1071.9667621310564
13	10	1	18	0	0	1071.9667621310564
7	5	0	75	0	0	1073.2842463413265
7	5	1	25	0	0	1073.2842463413265
7	8	0	81	0	0	1073.7288085206915
7	8	1	19	0	0	1073.7288085206915
1	14	0	80	0	0	1074.1853034197002
1	14	1	20	0	0	1074.1853034197002
7	13	0	76	0	0	1075.3636997980147
7	13	1	24	0	0	1075.3636997980147
11	1	0	80	1	1	1076.3647516009155
11	1	1	20	0	0	1076.3647516009155
11	7	0	85	0	0	1077.0834236633868
11	7	1	15	0	0	1077.0834236633868
8	1	0	81	0	0	1080.3276916424797
8	1	1	19	0	0	1080.3276916424797
2	5	0	81	0	0	1081.8505687497257
2	5	1	19	0	0	1081.8505687497257
9	1	0	89	0	0	1082.7968698803356
9	1	1	11	0	0	1082.7968698803356
3	2	0	80	0	0	1082.971438716125
3	2	1	20	0	0	1082.971438716125
3	9	0	75	0	0	1083.6204428611409
3	9	1	25	0	0	1083.6204428611409
11	8	0	76	0	0	1084.6156386838238
11	8	1	24	0	0	1084.6156386838238
11	2	0	80	1	1	1085.5997637505377
11	2	1	20	3	3	1085.5997637505377
10	12	0	79	0	0	1086.6245209951135
10	12	1	21	0	0	1086.6245209951135
2	1	0	73	0	0	1088.821169046516
2	1	1	27	0	0	1088.821169046516
14	9	0	80	0	0	1090.2146575833976
14	9	1	20	0	0	1090.2146575833976
12	4	0	78	0	0	1090.5753286096624
12	4	1	22	0	0	1090.5753286096624
6	9	0	76	0	0	1090.6885306077454
6	9	1	24	0	0	1090.6885306077454
14	6	0	71	0	0	1090.9656513171224
14	6	1	29	0	0	1090.9656513171224
7	2	0	82	0	0	1091.26820423027
7	2	1	18	0	0	1091.26820423027
6	14	0	79	0	0	1091.2852593239027
6	14	1	21	0	0	1091.2852593239027
6	5	0	85	0	0	1092.2751052463557
6	5	1	15	0	0	1092.2751052463557
7	9	0	79	0	0	1093.6859019573492
7	9	1	21	0	0	1093.6859019573492
9	2	0	81	0	0	1094.2221700144582
9	2	1	19	0	0	1094.2221700144582
13	11	0	79	0	0	1094.3782703887885
13	11	1	21	0	0	1094.3782703887885
7	3	0	72	0	0	1095.034657862582
7	3	1	28	0	0	1095.034657862582
5	8	0	83	0	0	1096.3151259717008
5	8	1	17	2	2	1096.3151259717008
3	11	0	79	0	0	1096.9873454638225
3	11	1	21	0	0	1096.9873454638225
5	3	0	78	0	0	1098.930878782311
5	3	1	22	0	0	1098.930878782311
4	1	0	76	0	0	1099.1623697185585
4	1	1	24	0	0	1099.1623697185585
8	5	0	88	0	0	1099.2229373370342
8	5	1	12	1	1	1099.2229373370342
9	10	0	85	0	0	1101.0235474844467
9	10	1	15	0	0	1101.0235474844467
14	7	0	81	0	0	1106.3925435031313
14	7	1	19	0	0	1106.3925435031313
9	12	0	86	0	0	1106.6365849124072
9	12	1	14	0	0	1106.6365849124072
9	8	0	84	0	0	1106.912708214299
9	8	1	16	1	1	1106.912708214299
4	5	0	75	0	0	1107.2367695850348
4	5	1	25	0	0	1107.2367695850348
2	9	0	70	0	0	1109.4551370765198
2	9	1	30	0	0	1109.4551370765198
11	14	0	83	0	0	1110.8580563064982
11	14	1	17	0	0	1110.8580563064982
1	13	0	78	0	0	1113.529461941899
1	13	1	22	0	0	1113.529461941899
14	12	0	86	0	0	1115.5331698464583
14	12	1	14	0	0	1115.5331698464583
1	5	0	81	0	0	1115.5400224682116
1	5	1	19	0	0	1115.5400224682116
8	9	0	76	0	0	1116.1772294848454
8	9	1	24	0	0	1116.1772294848454
7	10	0	80	0	0	1116.3450345909746
7	10	1	20	0	0	1116.3450345909746
9	4	0	81	0	0	1116.5793139473578
9	4	1	19	0	0	1116.5793139473578
6	10	0	76	0	0	1117.6554879164612
6	10	1	24	0	0	1117.6554879164612
4	13	0	83	0	0	1118.2648656588274
4	13	1	17	0	0	1118.2648656588274
8	7	0	80	0	0	1118.3346811053755
8	7	1	20	0	0	1118.3346811053755
1	2	0	78	0	0	1126.2197836044622
1	2	1	22	0	0	1126.2197836044622
10	13	0	85	0	0	1127.041129034834
10	13	1	15	0	0	1127.041129034834
10	2	0	81	0	0	1127.1996852230968
10	2	1	19	0	0	1127.1996852230968
1	11	0	77	0	0	1127.2177081967518
1	11	1	23	2	2	1127.2177081967518
13	1	0	88	0	0	1127.3310972114703
13	1	1	12	0	0	1127.3310972114703
1	8	0	86	0	0	1127.9494012956773
1	8	1	14	1	1	1127.9494012956773
5	7	0	78	0	0	1129.0794526072227
5	7	1	22	0	0	1129.0794526072227
9	11	0	78	0	0	1130.0158168511662
9	11	1	22	0	0	1130.0158168511662
1	6	0	83	0	0	1130.9478458354415
1	6	1	17	0	0	1130.9478458354415
11	4	0	75	0	0	1131.7022254538792
11	4	1	25	0	0	1131.7022254538792
11	13	0	81	0	0	1132.5513924405152
11	13	1	19	0	0	1132.5513924405152
2	4	0	84	0	0	1134.7031612982375
2	4	1	16	0	0	1134.7031612982375
12	8	0	77	0	0	1135.5917033719224
12	8	1	23	0	0	1135.5917033719224
11	3	0	86	0	0	1136.1433061227558
11	3	1	14	1	1	1136.1433061227558
10	5	0	80	0	0	1136.6888409919156
10	5	1	20	0	0	1136.6888409919156
14	13	0	83	0	0	1137.244898040863
14	13	1	17	0	0	1137.244898040863
8	6	0	78	0	0	1141.1684668638152
8	6	1	22	0	0	1141.1684668638152
10	6	0	83	0	0	1142.086531266678
10	6	1	17	0	0	1142.086531266678
6	3	0	78	0	0	1144.7579444207456
6	3	1	22	0	0	1144.7579444207456
12	11	0	77	0	0	1146.55045205506
12	11	1	23	0	0	1146.55045205506
1	9	0	83	0	0	1147.382040173805
1	9	1	17	0	0	1147.382040173805
10	3	0	86	0	0	1147.4021695877059
10	3	1	14	0	0	1147.4021695877059
